0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938283398,0,0,0
0,0.124206529,0,0,0,0,0,0,0.411504178,0,0,0,0,0.746992096,0,0,0.169437132,0,0,0,0
0,0,0,0,0,0,0.420210375,0,0,0,0,0,0.32244602,0,0,0,0,0.561518589,0,0,0
0,0,0.76079514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.252532111,0,0.155777253,0,0,0,0,0,0,0,0,0,0,0,0
0,0.593942651,0.528900433,0,0,0,0,0,0,0.827275681,0,0,0,0,0,0,0.291740929,0,0,0,0
0,0.642663578,0,0,0,0,0,0,0,0.843838953,0,0,0,0,0,0,0,0,0.801947516,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162831856,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764004813,0,0,0,0.545398734,0
0,0,0,0,0.871051461,0,0,0,0.209399506,0.900737983,0,0,0,0,0,0,0,0.998865823,0,0.154139055,0
0.597030088,0,0,0,0,0,0.727773976,0,0,0,0,0,0,0,0,0.877197012,0,0,0,0,0
