0,0,0,0,0.364627634,0,0.023654685,0,0,0,0.94168971,0,0,0,0,0,0,0,0,0,0
0,0,0,0.015393486,0,0,0,0,0,0,0,0.356228676,0,0,0,0,0,0,0.328241417,0,0
0.038659864,0.216849748,0,0,0,0.725100776,0,0,0.19197172,0.658415454,0,0,0.592435595,0,0,0,0,0,0,0,0
0,0,0.812224863,0,0.411506191,0,0.61315097,0,0,0.345352181,0.890080351,0,0.13966424,0,0,0,0,0.763300475,0,0,0.48867853
0.594923203,0.441561056,0,0,0,0,0,0,0,0,0,0,0,0.467085174,0,0,0,0,0,0,0
0.949957141,0,0,0,0,0,0,0.360487796,0,0,0,0,0.35494912,0,0,0.976555523,0,0.024024438,0,0,0
0,0.121903976,0,0,0.871203268,0,0,0,0.102956057,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.593111609,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.542692663,0.340404059,0,0.997438493,0.335678942,0,0,0.657766581,0.382666135,0,0,0.62178199,0,0,0.15002794,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318802713,0.83868956,0,0,0
0,0,0,0,0,0,0,0,0,0,0.460684582,0,0,0,0,0,0,0,0,0,0
0.926796905,0,0,0,0.257821574,0,0,0,0.714351161,0,0,0,0,0,0,0,0,0.333357779,0.134587188,0,0
